,brand,name,price,spec_rating,processor,Ram,ROM_type,display_size,resolution_width,resolution_height,OS
570,Acer,One 11 Z8-284 UN.013SI.032 Laptop,18990,69.32352941,Intel Celeron N4500,8GB,SSD,11.6,1366,768,Windows 11 OS
571,HP,Omen 16-u0022TX Gaming Laptop,169999,78,13th Gen Intel Core i7 13700HX,16GB,SSD,16.1,2560,1600,Windows 11 OS
572,HP,Omen 16-u0021TX Gaming Laptop,189999,80,13th Gen Intel Core i7 13700HX,16GB,SSD,16.1,2560,1600,Windows 11 OS
573,HP,Omen 16-u0024TX Gaming Laptop,298999,88,13th Gen Intel Core i9 13900HX,32GB,SSD,16.1,2560,1600,Windows 11 OS
574,HP,Pavilion Plus ‎14-ey0789AU Laptop,99999,70,7th Gen Amd Ryzen 7 7840H,16GB,SSD,14,2880,1800,Windows 11 OS
575,HP,Omen 17-ck2008AX Gaming Laptop,267999,85,13th Gen Intel Core i7 13700HX,16GB,SSD,17.3,2560,1440,Windows 11 OS
579,Acer,Aspire 5 A515-57G-58R7 Gaming Laptop,57999,67,12th Gen Intel Core i5 1240P,8GB,SSD,15.6,1920,1080,Windows 11 OS
592,HP,14s-dr3002TU Laptop,26990,69.32352941,Intel Celeron N4500,8GB,SSD,14,1366,768,Windows 11 OS
593,Acer,C734 NX.H8VSI.004 Chromebook Laptop,13990,69.32352941,Intel Celeron Dual Core N4500,4GB,Hard-Disk,11.6,1280,1024,Chrome OS
594,Acer,TravelMate P2 TMP214-53 Business Laptop,49990,65,11th Gen Intel Core i7 1165G7,16GB,SSD,14,1920,1080,Windows 11 OS
598,Acer,Chromebook CB314-3H NX.K04SI.007 Laptop,26732,69.32352941,Intel Celeron Dual Core N4500,8GB,SSD,14,1280,1024,Chrome OS
599,HP,Zbook FireFly 14 G8 4F0W6PA Laptop,89999,70,11th Gen Intel Core i5 1135G7,16GB,SSD,14,1920,1080,Windows 11 OS
618,HP,ZBook Firefly 16 G9 6V2X7PA Workstation PC Laptop,123300,75,12th Gen Intel Core i7 1255U,16GB,SSD,16,1920,1200,Windows 11 OS
624,HP,Victus 15-fb0158AX Gaming Laptop,49990,67,5th Gen AMD Ryzen 5  5600H ,8GB,SSD,15.6,1920,1080,Windows 11 OS
627,HP,Pavilion x360 14-ek1021TU Laptop,91590,70,13th Gen Intel Core i7 1355U ,16GB,SSD,14,1920,1080,Windows 11 OS
629,HP,Victus 15-fa1062TX Gaming Laptop,103060,71,13th Gen Intel Core i5 13500H,16GB,SSD,15.6,1920,1080,Windows 11 OS
631,HP,15-fc0027AU Laptop,39600,69.32352941,7th Gen AMD Ryzen 3 7320U,8GB,SSD,15.6,1920,1080,Windows 11 OS
